"","Trade.Name","County","Inspection.Grade","Inspection.Date","Owner.Name","Street","City","State.Code","Zip.Code","Deficiency.Number","Deficiency.Description","Location","id"
"1","#1 FARMERS MARKET","New York","A",2018-07-25,"OMSAI UPPER EASTSIDE GROCERY INC","1458 2ND AVENUE","NEW YORK","NY",10028,"","","1458 2ND AVENUE
NEW YORK, NY 10028
(40.77157, -73.956333)",14019
"2","#1 SMOKE SHOP","Kings","A",2018-05-21,"#1 SMOKE SHOP INC","1574 FLATBUSH AVE","BROOKLYN","NY",11210,"","","1574 FLATBUSH AVE
BROOKLYN, NY 11210
(40.632319, -73.94713)",9079
"3","#248-PRICE RITE OF SOUT","Onondaga","A",2019-01-11,"PRRC INC","611 SOUTH AVE","SYRACUSE","NY",13207,"","","611 SOUTH AVE
SYRACUSE, NY 13207
(43.032843, -76.158812)",13757
"4","#249 PRICE RITE OF UTIC","Oneida","A",2018-07-30,"PRRC INC","501 BLEEKER ST","UTICA","NY",13501,"","","501 BLEEKER ST
UTICA, NY 13501
(43.099454, -75.221625)",13754
"5","$ VALLEY","Queens","A",2019-02-13,"DISCOUNT VALLEY INC","253-06 HILLSIDE AVE","BELLEROSE","NY",11426,"","","253-06 HILLSIDE AVE
BELLEROSE, NY 11426
(40.736024, -73.714494)",770
"6","$1 LIMIT THE","Westchester","A",2018-04-26,"STAR-CON LTD","109 MAMARONECK AVE","WHITE PLAINS","NY",10601,"","","109 MAMARONECK AVE
WHITE PLAINS, NY 10601
(41.029936, -73.76552)",18764
"7","1 FAM GROCERY","Westchester","A",2019-01-17,"1 FAM GROCERY INC","173 WOODWORTH AVE","YONKERS","NY",10701,"","","173 WOODWORTH AVE
YONKERS, NY 10701
(40.943306, -73.898334)",18375
"8","1 NY NEW DELI","Kings","A",2018-10-19,"1 NY NEW DELI CORP","469 E 98TH ST","BROOKLYN","NY",11212,"","","469 E 98TH ST
BROOKLYN, NY 11212
(40.657099, -73.914159)",9040
"9","10 NEIGHBORHOOD CANDY G","Bronx","A",2018-05-04,"10 NEIGHBORHOOD CANDY GROCERY COR","10 W. GUN HILL RD.","BRONX","NY",10467,"","","10 W. GUN HILL RD.
BRONX, NY 10467
(40.882869, -73.881552)",6262
"10","100 RT 17K","Orange","A",2018-05-07,"100 RT 17K INC","100 RT 17K","NEWBURGH","NY",12550,"","","100 RT 17K
NEWBURGH, NY 12550
(41.506352, -74.077963)",3293
"11","100 ST QUICK 24HR DELI","New York","A",2018-06-19,"100 ST QUICK 24 HR DELI INC","219 W 100TH ST 3RD STORE","NEW YORK","NY",10025,"","","219 W 100TH ST 3RD STORE
NEW YORK, NY 10025
(40.797317, -73.970162)",12243
"12","1000 ISLANDS CRUET THE","Jefferson","A",2018-07-06,"OLIVEA LLC","20 CHURCH STREET","ALEXANDRIA BAY","NY",13607,"","","20 CHURCH STREET
ALEXANDRIA BAY, NY 13607
(44.336597, -75.918645)",8552
"13","1000 ISLANDS OILS & VIN","Jefferson","A",2018-07-19,"RIVER RETAIL INC","229 JOHN STREET","CLAYTON","NY",13624,"","","229 JOHN STREET
CLAYTON, NY 13624
(44.241841, -76.087606)",9339
"14","1000 MOTOR PKWY FOOD MA","Suffolk","A",2018-04-03,"1000 MOTOR PKWY FOOD MART INC","1000 MOTOR PARKWAY","CENTRAL ISLIP","NY",11722,"","","1000 MOTOR PARKWAY
CENTRAL ISLIP, NY 11722
(40.802146, -73.217412)",16650
"15","101 AVE CITY LINE DELI","Queens","A",2019-01-22,"101 AVE CITY LINE DELI & GROCERY","7425 101ST AVENUE","OZONE PARK","NY",11416,"","","7425 101ST AVENUE
OZONE PARK, NY 11416
(40.679472, -73.862865)",16048
"16","101 AVE DELI GROCERY 06","Queens","A",2019-01-10,"101 AVE DELI GROCERY INC","9215 101ST AVENUE","OZONE PARK","NY",11416,"","","9215 101ST AVENUE
OZONE PARK, NY 11416
(40.683711, -73.847953)",14853
"17","101 CORNER FOOD MART","Queens","A",2018-07-26,"101 CORNER FOOD MART INC","111-01 101 ST AVE","SOUTH RICHMOND HIL","NY",11419,"","","111-01 101 ST AVE
SOUTH RICHMOND HIL, NY 11419
(40.688089, -73.83259)",3546
"18","101 DELI NY","Queens","A",2019-01-23,"101 DELI NY INC","120-22 101ST AVENUE","SOUTH RICHMOND HIL","NY",11419,"","","120-22 101ST AVENUE
SOUTH RICHMOND HIL, NY 11419
(40.690493, -73.824093)",3297
