GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Ancestry specified:,Margin of Error; Ancestry specified:,Estimate; Ancestry specified: - Single ancestry,Margin of Error; Ancestry specified: - Single ancestry,Estimate; Ancestry specified: - Multiple ancestry,Margin of Error; Ancestry specified: - Multiple ancestry,Estimate; Ancestry not specified:,Margin of Error; Ancestry not specified:,Estimate; Ancestry not specified: - Ancestry unclassified,Margin of Error; Ancestry not specified: - Ancestry unclassified,Estimate; Ancestry not specified: - Ancestry not reported,Margin of Error; Ancestry not specified: - Ancestry not reported
0400000US01,01,Alabama,4850771,*****,3730510,10755,2964175,11167,766335,8718,1120261,10753,108305,3804,1011956,10155
0400000US02,02,Alaska,738565,*****,625805,3388,391062,4662,234743,4330,112760,3388,13683,990,99077,3266
0400000US04,04,Arizona,6809946,*****,5704254,11502,4048328,16391,1655926,12919,1105692,11502,92261,3212,1013431,11034
0400000US05,05,Arkansas,2977944,*****,2217624,7662,1629700,7779,587924,7844,760320,7662,68983,3045,691337,7957
0400000US06,06,California,38982847,*****,34336321,56398,25945708,88281,8390613,39447,4646526,56398,336067,6923,4310459,52343
0400000US08,08,Colorado,5436519,*****,4504686,9047,2764917,11759,1739769,9157,931833,9047,98805,3244,833028,10086
0400000US09,09,Connecticut,3594478,*****,3163088,6553,1939474,11260,1223614,9716,431390,6553,32256,1589,399134,6448
0400000US10,10,Delaware,943732,*****,795817,4379,547821,5150,247996,4239,147915,4379,14697,1152,133218,4276
0400000US11,11,District of Columbia,672391,*****,550281,3333,414932,3872,135349,2788,122110,3333,36426,2587,85684,3315
0400000US12,12,Florida,20278447,*****,17100275,28855,12629916,48679,4470359,31220,3178172,28855,291843,6826,2886329,25465
0400000US13,13,Georgia,10201635,*****,8405385,22348,6727599,29298,1677786,14539,1796250,22348,209764,4869,1586486,20592
