GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No vehicle available,Margin of Error; Total: - No vehicle available,Estimate; Total: - 1 vehicle available,Margin of Error; Total: - 1 vehicle available,Estimate; Total: - 2 vehicles available,Margin of Error; Total: - 2 vehicles available,Estimate; Total: - 3 vehicles available,Margin of Error; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Margin of Error; Total: - 4 or more vehicles available,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No vehicle available,Margin of Error; Total: - 1-person household: - No vehicle available,Estimate; Total: - 1-person household: - 1 vehicle available,Margin of Error; Total: - 1-person household: - 1 vehicle available,Estimate; Total: - 1-person household: - 2 vehicles available,Margin of Error; Total: - 1-person household: - 2 vehicles available,Estimate; Total: - 1-person household: - 3 vehicles available,Margin of Error; Total: - 1-person household: - 3 vehicles available,Estimate; Total: - 1-person household: - 4 or more vehicles available,Margin of Error; Total: - 1-person household: - 4 or more vehicles available,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No vehicle available,Margin of Error; Total: - 2-person household: - No vehicle available,Estimate; Total: - 2-person household: - 1 vehicle available,Margin of Error; Total: - 2-person household: - 1 vehicle available,Estimate; Total: - 2-person household: - 2 vehicles available,Margin of Error; Total: - 2-person household: - 2 vehicles available,Estimate; Total: - 2-person household: - 3 vehicles available,Margin of Error; Total: - 2-person household: - 3 vehicles available,Estimate; Total: - 2-person household: - 4 or more vehicles available,Margin of Error; Total: - 2-person household: - 4 or more vehicles available,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No vehicle available,Margin of Error; Total: - 3-person household: - No vehicle available,Estimate; Total: - 3-person household: - 1 vehicle available,Margin of Error; Total: - 3-person household: - 1 vehicle available,Estimate; Total: - 3-person household: - 2 vehicles available,Margin of Error; Total: - 3-person household: - 2 vehicles available,Estimate; Total: - 3-person household: - 3 vehicles available,Margin of Error; Total: - 3-person household: - 3 vehicles available,Estimate; Total: - 3-person household: - 4 or more vehicles available,Margin of Error; Total: - 3-person household: - 4 or more vehicles available,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No vehicle available,Margin of Error; Total: - 4-or-more-person household: - No vehicle available,Estimate; Total: - 4-or-more-person household: - 1 vehicle available,Margin of Error; Total: - 4-or-more-person household: - 1 vehicle available,Estimate; Total: - 4-or-more-person household: - 2 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 2 vehicles available,Estimate; Total: - 4-or-more-person household: - 3 vehicles available,Margin of Error; Total: - 4-or-more-person household: - 3 vehicles available,Estimate; Total: - 4-or-more-person household: - 4 or more vehicles available,Margin of Error; Total: - 4-or-more-person household: - 4 or more vehicles available
0400000US01,01,Alabama,1856695,5529,115889,2446,607808,4441,687563,5297,301367,3496,144068,2530,543128,3996,72709,1825,353971,3911,91855,2230,18219,865,6374,531,653914,3870,24070,1156,139515,2292,336436,3755,115623,2051,38270,1216,299381,3940,10697,800,61216,1844,112660,2704,81231,2093,33577,1448,360272,3837,8413,664,53106,1564,146612,2800,86294,1940,65847,1692
0400000US02,02,Alaska,252536,1271,24128,788,75711,1540,95962,1593,38393,1061,18342,595,64344,1488,11264,627,37645,1216,11787,807,2460,331,1188,235,85015,1557,5104,384,19360,807,42963,1179,13059,670,4529,386,40349,1247,2354,224,8307,597,15967,831,9625,668,4096,397,62828,1235,5406,265,10399,637,25245,861,13249,627,8529,451
0400000US04,04,Arizona,2482311,6429,160656,2441,911260,4646,946422,5916,328532,3861,135441,2198,679053,4474,96724,1794,477055,3864,84426,2018,15098,812,5750,573,880181,4787,32678,1268,261141,3157,462304,4355,96355,1880,27703,1054,351326,4021,13503,974,78639,1972,148379,2884,87347,2037,23458,996,571751,3857,17751,918,94425,1963,251313,3215,129732,2559,78530,1531
0400000US05,05,Arkansas,1147291,4059,72383,1797,387744,3856,444229,3885,172206,2754,70729,1805,326852,3637,45980,1357,216466,3207,53723,1496,8197,582,2486,344,409224,3446,13818,813,92953,2122,220248,3013,64715,1619,17490,790,178732,3135,6140,624,39864,1607,70883,1859,46883,1520,14962,717,232483,2573,6445,603,38461,1431,99375,1830,52411,1435,35791,1186
0400000US06,06,California,12888128,18518,955453,5872,4027054,11555,4811870,16927,2025534,10167,1068217,6108,3075683,9844,546323,5085,2058651,8189,377984,3981,67510,1775,25215,1118,3890262,11166,212485,3097,1001190,7900,2055726,8870,481590,4155,139271,2567,2146964,13565,85662,1803,446780,4743,875420,8450,566552,5893,172550,2812,3775219,11316,110983,2606,520433,5075,1502740,8540,909882,6626,731181,5251
0400000US08,08,Colorado,2082531,4593,110143,1946,624277,4239,839922,4518,345203,3258,162986,2832,567348,4299,72990,1686,383049,3777,86459,2116,18158,865,6692,462,740211,3873,21573,1051,137112,2360,417293,3221,122645,1925,41588,1546,315197,3742,7636,675,55233,1830,130248,2670,89439,1979,32641,1064,459775,3311,7944,641,48883,1548,205922,2787,114961,2109,82065,1820
0400000US09,09,Connecticut,1361755,3669,122253,2368,442460,3890,512498,4052,199602,2570,84942,1606,383275,2939,75265,1812,257851,2686,40996,1465,6710,579,2453,353,460702,3355,23504,1227,105037,1926,253851,2644,61781,1459,16529,838,221236,2882,11424,750,42765,1512,85827,2183,62080,1508,19140,893,296542,2562,12060,808,36807,1340,131824,2188,69031,1684,46820,1363
0400000US10,10,Delaware,352357,1633,21760,907,119663,1891,139831,1945,49725,1382,21378,943,94661,1683,12853,758,66808,1574,12189,845,1929,336,882,214,128496,1833,4601,460,30180,1182,73634,1572,15541,689,4540,411,54862,1408,1948,308,12004,981,21555,919,14666,821,4689,545,74338,1308,2358,285,10671,679,32453,913,17589,864,11267,687
0400000US11,11,District of Columbia,277985,1316,99368,1475,122412,1737,45787,1172,7879,517,2539,320,121126,1825,58744,1299,57655,1555,3944,341,584,183,199,95,84873,1666,23975,951,37737,1194,20917,831,1858,241,386,117,34361,1190,8729,615,14377,773,8679,587,2204,256,372,110,37625,1041,7920,558,12643,682,12247,638,3233,341,1582,267
0400000US12,12,Florida,7510882,23856,502079,5330,3051664,10175,2870158,14465,816409,7671,270572,3582,2158919,9671,309557,3740,1607117,8478,205802,3281,27698,1209,8745,659,2773680,10279,107105,2689,929460,6712,1487534,7814,207138,3358,42443,1282,1132347,9694,40621,1490,269425,3976,507943,6098,266699,3995,47659,1463,1445936,9971,44796,1336,245662,4273,668879,7338,314874,4245,171725,2898
0400000US13,13,Georgia,3663104,8973,246192,3356,1217273,7094,1399320,9293,553845,5766,246474,3891,983015,6476,137543,2213,659216,5926,148454,2942,27348,1103,10454,812,1205108,7150,52415,2055,278726,4448,637012,5892,181591,2827,55364,1611,615130,6753,26811,1086,138546,2839,244414,4315,153208,2981,52151,1655,859851,5284,29423,1548,140785,2572,369440,4289,191698,3747,128505,2895
0400000US15,15,Hawaii,455502,2028,37599,1135,152397,2318,165471,2187,61644,1567,38391,1019,108728,2075,23494,943,70301,1735,12448,700,1860,314,625,166,143943,2041,8155,608,47167,1558,71529,1433,14176,759,2916,340,75961,1847,2774,358,16789,801,33271,1096,18090,873,5037,493,126870,1664,3176,370,18140,882,48223,1253,27518,1019,29813,837
0400000US16,16,Idaho,609124,2433,25288,1093,172871,2739,237113,2676,114162,2372,59690,1681,159155,2366,16740,874,103251,2223,30149,1175,6076,450,2939,344,219007,2679,4921,501,40847,1541,113095,1848,43885,1241,16259,888,86290,1810,1630,301,14920,889,33271,1249,24678,1286,11791,746,144672,2034,1997,295,13853,894,60598,1481,39523,1425,28701,1097
0400000US17,17,Illinois,4818452,9284,519591,3956,1678810,6519,1766910,7985,606221,4752,246920,2723,1407091,6862,327180,3100,911026,5997,140510,2647,21438,880,6937,572,1560323,6658,107423,2101,426516,4089,826043,4511,161834,2357,38507,1224,735377,6106,41045,1086,167112,2642,299047,3709,181377,2791,46796,1172,1115661,5307,43943,1319,174156,2875,501310,4951,241572,3695,154680,2531
0400000US18,18,Indiana,2537189,7046,169165,2512,820750,4882,976546,6789,392661,4098,178067,2612,717931,4803,103597,2086,480909,4523,105089,2053,20101,1029,8235,693,886583,5107,32145,1144,189790,3041,481306,4187,139403,2322,43939,1430,382981,4094,13764,836,75348,1832,149962,2937,103687,2112,40220,1115,549694,3437,19659,965,74703,1832,240189,3044,129470,2512,85673,1708
0400000US19,19,Iowa,1251587,3914,71130,1497,373736,3046,489333,3755,213089,2405,104299,1828,362580,2682,48576,1064,238660,2780,58503,1155,11459,697,5382,432,462545,2717,12819,757,78738,1594,255950,2551,85615,1719,29423,812,170253,2383,4494,387,28513,1314,65506,1452,50430,1582,21310,799,256209,2277,5241,574,27825,1279,109374,1810,65585,1495,48184,1272
0400000US20,20,Kansas,1121943,3987,60956,1600,337705,2816,442617,3998,185243,2338,95422,2055,322256,3179,43005,1310,212823,2482,51582,1311,10424,609,4422,377,394119,3010,10076,641,69280,1460,217977,2830,69290,1331,27496,1030,160168,2391,3502,353,28093,1204,64204,1666,45159,1224,19210,859,245400,2288,4373,493,27509,1154,108854,1729,60370,1407,44294,1388
0400000US21,21,Kentucky,1724514,4759,132239,2222,569922,3827,653018,4324,255212,3079,114123,2199,489398,3887,83879,1823,317138,3423,71632,1778,12128,678,4621,442,609468,3933,25648,1261,138594,2385,319505,3060,95412,1783,30309,1221,277526,4042,11343,754,60328,1933,111189,2264,68178,1499,26488,1011,348122,3587,11369,639,53862,1676,150692,2665,79494,2020,52705,1446
0400000US22,22,Louisiana,1737645,5467,147529,2697,642304,4924,654726,4994,216802,3484,76284,1807,519662,4501,89393,1922,354949,3796,63565,1933,9140,803,2615,374,578340,4864,30119,1238,153348,2482,318154,3843,62220,1309,14499,803,286457,4169,13632,798,69203,2013,117510,2867,70312,2029,15800,878,353186,3610,14385,938,64804,1912,155497,2521,75130,1957,43370,1250
0400000US23,23,Maine,554061,2330,40892,1207,187289,2305,221016,2696,75198,1314,29666,1007,161120,2169,28642,1093,110095,2028,18208,775,2975,352,1200,230,219573,2009,7294,645,49818,1325,124518,1843,30029,944,7914,443,79882,1522,2331,309,15416,849,34218,1152,21563,753,6354,510,93486,1557,2625,358,11960,775,44072,1328,20631,744,14198,676
0400000US24,24,Maryland,2181093,4999,197608,2964,707320,4943,806003,6435,318408,3083,151754,2522,588076,5022,113541,2501,386321,4204,71249,1765,12525,778,4440,404,702493,4634,40318,1259,170152,2425,367165,3812,96345,1911,28513,1089,369724,4162,20386,1050,75307,1844,146287,2472,94452,2033,33292,1057,520800,3314,23363,986,75540,1931,221302,3186,115086,1931,85509,1862
0400000US25,25,Massachusetts,2585715,5003,320661,3113,922203,4534,938076,5900,290344,3518,114431,2091,736053,4987,190823,2480,484880,4213,50463,1553,7005,546,2882,351,851905,4501,70372,1707,246893,2966,451657,3436,68151,1925,14832,757,430209,4588,31570,1468,100105,2241,172505,2864,104343,2197,21686,901,567548,3859,27896,1074,90325,2028,263451,3166,110845,2174,75031,1681
0400000US26,26,Michigan,3888646,8344,306266,2997,1329278,5536,1504948,6622,522907,4331,225247,2419,1134862,4884,197758,2369,768888,4849,136732,2113,22811,881,8673,483,1360890,5428,59197,1598,320736,3370,770531,4690,165770,1965,44656,1102,578866,4642,22323,893,119891,2171,233981,3055,157124,2449,45547,1239,814028,4277,26988,987,119763,2257,363704,3397,177202,2598,126371,1900
0400000US27,27,Minnesota,2153202,5375,149704,2557,639716,3724,872929,4218,338245,2944,152608,1802,609357,3765,105726,2143,404583,3231,77532,1517,14855,606,6661,387,767076,3639,23664,1138,138382,1985,450455,3196,119012,1620,35563,822,305287,2907,9354,605,48800,1300,123536,2025,91244,1656,32353,890,471482,2822,10960,704,47951,1397,221406,2538,113134,1812,78031,1407
0400000US28,28,Mississippi,1103514,4104,73423,1862,366881,3622,409212,3811,174728,2842,79270,1922,310702,3809,44811,1499,197048,2989,54802,1683,10295,809,3746,421,373702,3502,14656,772,86600,2137,189979,2543,61614,1828,20853,992,178457,3264,6863,488,41039,1499,67305,2103,46727,1714,16523,1095,240653,2643,7093,629,42194,1356,97126,2377,56092,2127,38148,1363
0400000US29,29,Missouri,2386203,6827,167957,1790,786999,5192,911628,5822,359594,3457,160025,2117,696905,5053,109058,1608,469479,4483,95476,1840,16972,796,5920,481,845311,4714,31570,1421,180104,2930,465576,3815,129389,1891,38672,1167,358350,4146,13385,953,70475,1784,141550,3054,98263,2202,34677,1219,485637,3999,13944,802,66941,2150,209026,3234,114970,2167,80756,1786
0400000US30,30,Montana,419975,2155,21270,844,117742,2206,156410,2344,79939,1827,44614,1129,127716,1721,15100,728,76213,1832,26862,884,6471,499,3070,357,160774,1879,3778,412,24652,924,80666,1551,34789,1161,16889,768,55848,1597,886,170,8989,570,19740,1182,17713,897,8520,526,75637,1453,1506,276,7888,612,29142,1092,20966,882,16135,802
0400000US31,31,Nebraska,748405,2213,41622,1151,223209,2524,291277,2503,126551,1760,65746,1072,216775,2276,30033,1030,141898,1983,34463,1043,7309,459,3072,281,264988,2318,6499,532,45256,1160,146427,1840,48380,1202,18426,613,102359,2007,2269,293,18524,919,38852,1268,30487,900,12227,563,164283,1642,2821,355,17531,879,71535,1361,40375,1118,32021,891
0400000US32,32,Nevada,1052249,3833,80264,1737,382806,2895,386183,3585,141830,2331,61166,1550,299082,3340,48233,1519,202682,2698,37881,1301,7471,645,2815,333,353987,3574,17733,905,101933,1943,180820,2492,40187,1213,13314,577,159328,2714,6299,479,38359,1393,66558,1780,37572,1151,10540,586,239852,2541,7999,652,39832,1250,100924,1832,56600,1525,34497,1248
0400000US33,33,New Hampshire,526710,2332,27205,1128,158420,2369,221098,2575,82104,1826,37883,1204,134536,2283,18749,944,96444,2000,15621,840,2555,286,1167,211,200911,2610,4224,451,38912,1201,122350,2202,27468,948,7957,533,85961,2040,2351,323,13545,818,34282,1147,26825,1074,8958,642,105302,1469,1881,300,9519,728,48845,1118,25256,961,19801,786
0400000US34,34,New Jersey,3199111,7594,364966,3209,1096118,6467,1158192,6617,403671,3424,176164,2494,822446,5406,192103,2645,549066,4797,68410,1855,9648,651,3219,334,982815,5165,78601,1856,281769,3747,511521,3756,89985,1863,20939,991,566377,5109,42471,1412,128776,2173,221355,3524,138850,2430,34925,1191,827473,3965,51791,1509,136507,2436,356906,3538,165188,2553,117081,1889
