GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
0400000US01,01,Alabama,1856695,5529,598534,3948,720178,4446,459410,4652,78573,2030,543128,3996,297786,3297,245342,3077,653914,3870,224006,2484,237776,2714,192132,2478,299381,3940,43788,1163,112477,2306,115272,2544,27844,1174,360272,3837,32954,1190,124583,2325,152006,3256,50729,1695
0400000US02,02,Alaska,252536,1271,51802,1186,103564,1673,79759,1521,17411,824,64344,1488,25381,974,38963,1375,85015,1557,18689,745,29603,954,36723,1116,40349,1247,3504,356,14747,844,16401,734,5697,512,62828,1235,4228,349,20251,781,26635,915,11714,680
0400000US04,04,Arizona,2482311,6429,740779,4187,952138,5879,643641,4629,145753,2468,679053,4474,343270,3461,335783,3894,880181,4787,322191,2948,283782,2913,274208,3273,351326,4021,38655,1280,130106,2199,138981,2808,43584,1353,571751,3857,36663,1268,202467,2489,230452,3106,102169,2166
0400000US05,05,Arkansas,1147291,4059,360456,2860,437655,3435,299819,3683,49361,1674,326852,3637,179313,2693,147539,2752,409224,3446,136789,1879,143557,1973,128878,2432,178732,3135,23960,1016,65403,1933,72058,2159,17311,1070,232483,2573,20394,1004,81156,1748,98883,2057,32050,1216
0400000US06,06,California,12888128,18518,3096803,8716,4915661,13282,3713421,18011,1162243,5910,3075683,9844,1518192,7857,1557491,9170,3890262,11166,1116224,5311,1372282,8433,1401756,7744,2146964,13565,234845,3439,789530,6516,847036,8735,275553,3306,3775219,11316,227542,3600,1196358,7115,1464629,10092,886690,5134
0400000US08,08,Colorado,2082531,4593,464017,2912,814002,5621,665168,5254,139344,2439,567348,4299,241483,2841,325865,3709,740211,3873,180368,2058,238789,2918,321054,3222,315197,3742,23867,1164,105753,2452,136783,2726,48794,1315,459775,3311,18299,1001,143595,2335,207331,3210,90550,2063
0400000US09,09,Connecticut,1361755,3669,343257,2816,502510,3731,410388,3550,105600,1909,383275,2939,191818,2679,191457,2619,460702,3355,120042,1968,157460,2266,183200,2830,221236,2882,18199,865,70494,1915,96799,2107,35744,1225,296542,2562,13198,820,83099,1671,130389,1998,69856,1470
0400000US10,10,Delaware,352357,1633,96820,1354,133896,2096,98031,1696,23610,955,94661,1683,45699,1000,48962,1448,128496,1833,41331,1026,43739,1334,43426,1232,54862,1408,5676,504,19530,883,22246,890,7410,506,74338,1308,4114,446,21665,873,32359,1090,16200,814
0400000US11,11,District of Columbia,277985,1316,68288,1398,124371,1816,71243,1661,14083,767,121126,1825,43390,1108,77736,1653,84873,1666,15807,777,25410,1085,43656,1376,34361,1190,4881,465,10817,656,13017,650,5646,533,37625,1041,4210,411,10408,632,14570,696,8437,604
0400000US12,12,Florida,7510882,23856,2404090,10850,2782813,12158,1911581,13734,412398,4740,2158919,9671,1153906,9026,1005013,7370,2773680,10279,1032857,5137,898594,7259,842229,7042,1132347,9694,126964,2852,411532,4559,458037,6711,135814,2596,1445936,9971,90363,2010,467674,5608,611315,7384,276584,3923
0400000US13,13,Georgia,3663104,8973,932355,5145,1495282,7911,1029492,8362,205975,3317,983015,6476,452766,4593,530249,5753,1205108,7150,346876,3299,438382,4736,419850,4870,615130,6753,71939,2039,230115,3620,245843,4927,67233,1904,859851,5284,60774,1671,296536,3701,363799,5156,138742,2551
0400000US15,15,Hawaii,455502,2028,104647,1575,162070,2235,134071,2228,54714,1231,108728,2075,53282,1344,55446,1591,143943,2041,39499,1100,49871,1390,54573,1360,75961,1847,6801,528,25767,1065,32181,1141,11212,620,126870,1664,5065,533,30986,970,47317,1212,43502,1049
0400000US16,16,Idaho,609124,2433,166930,2060,228518,3075,177736,2762,35940,1111,159155,2366,81769,1890,77386,2402,219007,2679,69905,1385,70486,2059,78616,1873,86290,1810,8514,679,30382,1158,36049,1491,11345,736,144672,2034,6742,566,50264,1289,63071,1762,24595,1033
0400000US17,17,Illinois,4818452,9284,1240100,5323,1844464,7161,1392632,8491,341256,3729,1407091,6862,679342,4961,727749,5754,1560323,6658,431750,3376,526084,4368,602489,4374,735377,6106,70324,1697,248290,3456,309959,4011,106804,1970,1115661,5307,58684,1835,342341,3896,480184,4777,234452,3025
0400000US18,18,Indiana,2537189,7046,678141,3822,970384,5007,741781,6440,146883,2581,717931,4803,353019,3521,364912,3576,886583,5107,253449,2651,304507,3019,328627,3615,382981,4094,39535,1329,128872,2223,162846,3172,51728,1377,549694,3437,32138,1273,172093,2651,250308,3384,95155,2064
0400000US19,19,Iowa,1251587,3914,316045,2096,441448,3128,417589,3577,76505,1571,362580,2682,174775,1822,187805,2419,462545,2717,120961,1455,141899,2230,199685,2373,170253,2383,11587,608,49505,1385,80338,1820,28823,1083,256209,2277,8722,561,62239,1485,137566,1767,47682,1127
0400000US20,20,Kansas,1121943,3987,273209,2529,426936,3516,354148,3659,67650,1407,322256,3179,153051,2097,169205,2431,394119,3010,98913,1584,130261,2050,164945,2332,160168,2391,11561,690,53248,1426,71625,1517,23734,986,245400,2288,9684,720,74222,1719,117578,1854,43916,1200
0400000US21,21,Kentucky,1724514,4759,556060,3617,629463,4159,453893,4405,85098,1775,489398,3887,274629,3244,214769,2965,609468,3933,207074,2419,209613,2949,192781,2700,277526,4042,41426,1449,95161,2307,110816,2282,30123,1258,348122,3587,32931,1416,109920,2302,150296,2146,54975,1433
0400000US22,22,Louisiana,1737645,5467,507162,4149,709635,4883,441652,4369,79196,1720,519662,4501,263218,3479,256444,3352,578340,4864,173470,2223,222692,3713,182178,2859,286457,4169,37612,1198,110828,2226,110405,2660,27612,1074,353186,3610,32862,1296,119671,2153,149069,2806,51584,1619
0400000US23,23,Maine,554061,2330,168738,1996,188648,2154,166393,2403,30282,1066,161120,2169,89494,1596,71626,1824,219573,2009,65484,1155,69445,1467,84644,1639,79882,1522,8151,579,23201,856,36275,1085,12255,681,93486,1557,5609,504,24376,932,45474,1152,18027,801
0400000US24,24,Maryland,2181093,4999,479529,3252,826176,5043,688307,5431,187081,2922,588076,5022,259315,2991,328761,3870,702493,4634,169377,2012,245143,3073,287973,3081,369724,4162,29027,1226,116625,2710,165575,2703,58497,1597,520800,3314,21810,950,135647,2129,234759,3200,128584,2434
0400000US25,25,Massachusetts,2585715,5003,649166,4563,913024,5601,802350,6078,221175,2900,736053,4987,371211,3948,364842,3643,851905,4501,214732,2861,277797,2667,359376,3575,430209,4588,36693,1319,128229,2463,186541,3247,78746,1955,567548,3859,26530,1130,142156,2585,256433,3135,142429,2411
0400000US26,26,Michigan,3888646,8344,1194948,4817,1429370,6424,1033846,6343,230482,2691,1134862,4884,614486,4613,520376,4564,1360890,5428,457117,3560,451661,4193,452112,3576,578866,4642,66506,1399,202974,2569,229363,3198,80023,1931,814028,4277,56839,1424,254359,3489,352371,4081,150459,2022
0400000US27,27,Minnesota,2153202,5375,510523,3364,749108,4226,732062,5534,161509,1862,609357,3765,282102,3387,327255,3105,767076,3639,197006,1767,223606,2557,346464,3108,305287,2907,16451,720,85859,1724,143280,2136,59697,1261,471482,2822,14964,868,112388,1802,242318,2953,101812,1516
0400000US28,28,Mississippi,1103514,4104,354822,3296,425248,4524,275475,3574,47969,1449,310702,3809,176395,2659,134307,2868,373702,3502,124722,2258,141131,2585,107849,2222,178457,3264,27506,1279,67928,2053,67562,2050,15461,897,240653,2643,26199,1374,81882,2277,100064,2380,32508,1247
0400000US29,29,Missouri,2386203,6827,673486,4074,887120,4821,686604,6174,138993,2321,696905,5053,352230,3627,344675,3402,845311,4714,255389,2222,281516,3041,308406,3582,358350,4146,36411,1301,118056,2070,154451,2855,49432,1343,485637,3999,29456,1121,142873,2413,223747,3400,89561,1928
0400000US30,30,Montana,419975,2155,120577,1508,154515,1938,124289,2028,20594,879,127716,1721,63629,1298,64087,1479,160774,1879,47673,1119,50252,1136,62849,1355,55848,1597,5198,448,17421,883,24276,1118,8953,552,75637,1453,4077,369,22755,961,37164,1090,11641,729
0400000US31,31,Nebraska,748405,2213,168168,1673,274275,2685,254834,2774,51128,1309,216775,2276,95063,1566,121712,1713,264988,2318,61155,1033,80167,1510,123666,1639,102359,2007,6498,526,30353,1139,46902,1562,18606,786,164283,1642,5452,465,42043,1004,84266,1517,32522,1052
0400000US32,32,Nevada,1052249,3833,279382,2383,419681,3239,282587,3131,70599,1767,299082,3340,138873,2522,160209,2204,353987,3574,110802,1880,122216,1986,120969,2118,159328,2714,16706,971,57863,1731,64289,1774,20470,909,239852,2541,13001,835,79393,1573,97329,2126,50129,1398
0400000US33,33,New Hampshire,526710,2332,126140,1619,183070,2474,175000,2736,42500,1082,134536,2283,65752,1395,68784,1799,200911,2610,51361,1280,62009,1374,87541,1964,85961,2040,5692,568,25120,1054,38243,1158,16906,862,105302,1469,3335,400,27157,1087,49216,1532,25594,931
0400000US34,34,New Jersey,3199111,7594,769009,4687,1186411,6024,962450,6636,281241,2705,822446,5406,417744,4075,404702,4121,982815,5165,271857,2988,345238,3067,365720,4316,566377,5109,44620,1396,194265,2883,241966,3868,85526,1905,827473,3965,34788,1329,242206,3027,354764,3431,195715,2138
0400000US35,35,New Mexico,770435,3318,240178,2699,305063,3452,189826,2785,35368,1096,233131,2674,124322,2190,108809,1960,262874,3067,87153,1716,93644,2123,82077,2004,113623,2066,16106,852,44214,1613,42273,1427,11030,654,160807,2346,12597,755,58396,1762,65476,1772,24338,878
0400000US36,36,New York,7302710,13551,1955975,6909,2768672,8550,2009695,11885,568368,4794,2171572,7805,1096174,6110,1075398,6660,2266169,9520,640065,4345,783832,5858,842272,6825,1174919,9579,122423,2061,410236,5006,472115,6094,170145,2896,1690050,7522,97313,2074,499206,4669,695308,5600,398223,3580
0400000US37,37,North Carolina,3874346,8789,1082208,5500,1525490,7091,1077704,8211,188944,2942,1095349,6143,543264,4758,552085,5081,1374557,5662,416549,3303,478674,3909,479334,4655,622097,6671,69252,1572,224570,3616,259503,4399,68772,1748,782343,5645,53143,1850,270161,3709,338867,3927,120172,2460
0400000US38,38,North Dakota,311525,1685,68247,1151,115103,1920,109070,2069,19105,1019,96953,1722,38862,1027,58091,1492,114676,1551,24932,657,32286,999,57458,1583,41562,1419,2261,341,11101,710,20266,968,7934,680,58334,1191,2192,238,13625,746,31346,1000,11171,783
0400000US39,39,Ohio,4633145,10307,1344776,5787,1727843,7703,1290128,8973,270398,3201,1391133,7125,723669,5702,667464,5379,1616987,6302,482523,3197,549226,4136,585238,4474,696117,5248,76518,1818,234337,2885,286665,3987,98597,2425,928908,4306,62066,2014,276816,3555,418225,4289,171801,2442
0400000US40,40,Oklahoma,1468971,2956,407430,2579,579697,3608,408910,2926,72934,1652,414010,2918,208880,2032,205130,2540,513608,3361,153116,1723,180854,2316,179638,2137,222271,2219,24339,698,81418,1599,91774,1591,24740,869,319082,2299,21095,703,112295,1860,137498,1941,48194,1297
0400000US41,41,Oregon,1571631,4213,462806,3300,571868,4890,443978,4587,92979,2006,435373,3383,235151,2844,200222,3364,577652,4028,185171,2228,186553,2788,205928,3233,232943,3467,24469,1043,82200,2000,95973,2640,30301,993,325663,2798,18015,881,102893,1853,142077,2325,62678,1784
