GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0400000US01,01,Alabama,1856695,5529,1233863,5682,879924,5955,622832,3986,9.2,0.1,5.8,0.1,1.8,0.1,16.9,0.3,6.6,0.1,3.7,0.1,1.7,0.1,12.6,0.3,12.3,0.2,9.2,0.2,5.6,0.2,19.2,0.4,10.9,0.2,9.7,0.2,7.8,0.2,13.3,0.3,13.9,0.2,13.7,0.2,12.9,0.2,13.9,0.3,17.6,0.2,19.5,0.2,21.5,0.3,13.1,0.3,11.1,0.2,13.7,0.2,16.7,0.3,5.4,0.2,11.3,0.1,14.9,0.2,19.1,0.2,3.7,0.2,3.9,0.1,5.3,0.1,7.0,0.2,0.9,0.1,3.3,0.1,4.4,0.1,6.0,0.2,0.9,0.1,46472,301,59115,419,73402,440,25802,270,64476,368,77153,479,91953,547,37491,354,36.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.8,(X)
0400000US02,02,Alaska,252536,1271,168265,1656,126503,1643,84271,1565,3.8,0.2,2.7,0.2,0.8,0.1,7.6,0.6,3.1,0.2,1.6,0.2,0.7,0.2,6.6,0.6,6.7,0.3,4.6,0.3,2.4,0.2,11.7,0.7,6.8,0.4,5.5,0.4,3.8,0.3,10.0,0.8,11.0,0.4,9.3,0.4,7.5,0.5,14.5,0.8,17.8,0.5,17.1,0.6,15.9,0.6,19.6,1.1,14.6,0.4,15.7,0.5,16.7,0.6,11.9,0.7,19.7,0.6,23.0,0.7,27.0,0.9,11.6,0.8,9.3,0.4,11.5,0.5,14.0,0.6,3.7,0.4,7.2,0.3,8.9,0.4,11.1,0.5,2.7,0.4,76114,979,88949,1275,103132,1348,49522,1342,94469,1169,105989,1295,120252,1655,65398,2190,30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X)
0400000US04,04,Arizona,2482311,6429,1622615,7054,1180957,7403,859696,5173,7.2,0.1,5.0,0.1,2.2,0.1,13.0,0.3,4.8,0.1,3.0,0.1,1.8,0.1,8.5,0.2,10.3,0.1,7.6,0.1,5.2,0.1,16.0,0.3,10.3,0.1,9.1,0.2,7.4,0.2,13.1,0.3,14.2,0.1,13.5,0.2,12.2,0.2,15.7,0.3,18.6,0.2,19.7,0.2,20.3,0.2,15.8,0.3,12.2,0.1,14.0,0.2,16.0,0.2,8.0,0.2,12.9,0.1,15.8,0.2,19.3,0.2,6.3,0.2,4.8,0.1,6.2,0.1,7.8,0.2,1.8,0.1,4.7,0.1,6.0,0.1,7.8,0.1,1.9,0.1,53510,259,63812,389,76431,454,34489,324,73735,288,84851,458,98219,532,48975,431,35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
0400000US05,05,Arkansas,1147291,4059,760300,4490,558304,5377,386991,3645,8.5,0.2,5.1,0.2,1.8,0.1,16.4,0.5,6.8,0.2,3.7,0.2,1.8,0.1,13.6,0.4,13.0,0.2,9.8,0.2,6.8,0.3,19.9,0.4,12.0,0.2,11.1,0.3,9.5,0.3,14.2,0.4,15.1,0.3,15.4,0.3,14.8,0.4,14.3,0.5,18.1,0.3,20.4,0.4,22.4,0.4,12.5,0.4,10.5,0.2,13.3,0.3,15.9,0.4,4.5,0.2,9.9,0.2,13.1,0.2,16.6,0.3,3.0,0.2,3.1,0.1,4.2,0.1,5.5,0.2,0.8,0.1,2.9,0.1,3.9,0.2,5.1,0.2,0.8,0.1,43813,401,54923,524,66356,546,25095,338,61330,455,72907,593,85038,695,36349,554,32.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
0400000US06,06,California,12888128,18518,8862523,24004,6381333,31986,4025605,11159,5.4,0.1,3.9,0.1,1.6,0.1,10.5,0.1,4.7,0.1,2.8,0.1,1.6,0.1,9.4,0.1,8.6,0.1,7.2,0.1,5.0,0.1,12.5,0.1,8.3,0.1,7.7,0.1,6.1,0.1,10.0,0.1,11.4,0.1,11.1,0.1,9.6,0.1,12.1,0.1,16.3,0.1,16.2,0.1,15.6,0.1,16.0,0.1,12.2,0.1,12.8,0.1,13.6,0.1,10.0,0.1,15.7,0.1,17.5,0.1,20.3,0.1,10.6,0.1,7.8,0.1,9.2,0.1,11.4,0.1,4.1,0.1,9.7,0.1,11.7,0.1,15.2,0.1,4.7,0.1,67169,192,76975,292,93800,293,43710,220,96104,248,106970,328,125039,356,66344,312,34.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X)
0400000US08,08,Colorado,2082531,4593,1338736,5139,1037829,6501,743795,4070,5.4,0.1,3.0,0.1,1.2,0.1,10.4,0.3,3.7,0.1,2.0,0.1,1.0,0.1,7.0,0.2,8.0,0.1,5.3,0.1,3.4,0.1,13.4,0.3,8.6,0.1,6.9,0.1,5.4,0.1,12.0,0.3,12.6,0.2,11.2,0.2,9.5,0.2,15.6,0.3,18.1,0.2,17.9,0.2,17.4,0.2,18.4,0.3,13.5,0.2,15.3,0.2,16.4,0.2,9.7,0.2,16.2,0.2,19.9,0.2,23.1,0.2,8.5,0.2,7.0,0.1,9.2,0.1,11.0,0.2,2.6,0.1,7.1,0.1,9.4,0.1,11.6,0.2,2.4,0.1,65458,317,80654,401,92903,423,41191,301,88388,360,104091,507,117419,602,56716,508,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.0,(X)
0400000US09,09,Connecticut,1361755,3669,895667,3882,664611,4217,466088,3216,5.4,0.1,3.1,0.1,1.0,0.1,10.5,0.3,3.6,0.1,1.8,0.1,0.7,0.1,7.2,0.2,7.7,0.2,4.6,0.2,2.1,0.1,14.3,0.3,7.3,0.2,5.8,0.2,3.7,0.2,10.8,0.3,10.9,0.2,9.2,0.2,7.2,0.2,14.5,0.3,15.9,0.2,15.0,0.2,13.9,0.3,17.5,0.4,12.6,0.2,13.6,0.2,14.2,0.2,10.1,0.3,17.1,0.2,20.8,0.2,24.2,0.3,9.0,0.3,8.6,0.1,11.2,0.2,13.9,0.2,3.0,0.2,11.0,0.2,14.8,0.2,19.0,0.3,3.1,0.2,73781,450,93800,659,112476,795,41775,493,105998,595,127991,870,150354,979,60033,813,33.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X)
0400000US10,10,Delaware,352357,1633,235505,2106,171990,2061,116852,1790,6.0,0.3,3.8,0.3,1.6,0.2,11.4,0.5,3.6,0.2,1.9,0.2,0.7,0.1,7.5,0.6,8.2,0.3,5.7,0.3,3.4,0.3,13.8,0.7,9.2,0.3,7.6,0.4,5.4,0.4,13.1,0.6,12.9,0.4,11.5,0.4,9.6,0.4,16.2,0.8,18.4,0.4,18.7,0.5,18.3,0.6,17.3,0.7,13.7,0.4,15.4,0.5,17.1,0.6,9.4,0.6,15.2,0.4,18.9,0.6,22.4,0.7,7.1,0.4,6.8,0.2,8.7,0.3,11.2,0.4,2.3,0.4,6.0,0.3,7.8,0.4,10.3,0.5,1.8,0.2,63036,738,76346,958,90580,1198,38209,934,84146,1081,97654,1276,113394,1652,53227,1508,36.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.2,(X)
0400000US11,11,District of Columbia,277985,1316,121411,1600,70359,1168,156574,1947,9.6,0.4,6.9,0.5,1.1,0.3,12.0,0.6,4.5,0.3,3.3,0.3,1.1,0.3,5.4,0.4,7.0,0.3,6.7,0.5,2.6,0.4,7.5,0.5,6.4,0.3,6.4,0.5,3.0,0.4,6.6,0.4,8.2,0.4,7.5,0.5,4.7,0.5,8.9,0.5,13.1,0.5,11.2,0.7,8.5,0.7,14.6,0.6,10.7,0.4,9.3,0.4,8.4,0.6,11.7,0.5,16.0,0.5,14.6,0.6,17.5,0.9,16.9,0.7,9.2,0.4,10.9,0.6,15.7,1.0,7.7,0.5,15.4,0.4,23.1,0.7,37.4,1.2,8.7,0.4,77649,1075,95995,2368,157559,3365,65922,1369,116090,1504,146574,2762,206955,4392,89707,1670,32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X)
