GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 16 years and over with earnings
HC01_MOE_VC01,Total; Margin of Error; Population 16 years and over with earnings
HC02_EST_VC01,Percent; Estimate; Population 16 years and over with earnings
HC02_MOE_VC01,Percent; Margin of Error; Population 16 years and over with earnings
HC03_EST_VC01,Male; Estimate; Population 16 years and over with earnings
HC03_MOE_VC01,Male; Margin of Error; Population 16 years and over with earnings
HC04_EST_VC01,Percent Male; Estimate; Population 16 years and over with earnings
HC04_MOE_VC01,Percent Male; Margin of Error; Population 16 years and over with earnings
HC05_EST_VC01,Female; Estimate; Population 16 years and over with earnings
HC05_MOE_VC01,Female; Margin of Error; Population 16 years and over with earnings
HC06_EST_VC01,Percent Female; Estimate; Population 16 years and over with earnings
HC06_MOE_VC01,Percent Female; Margin of Error; Population 16 years and over with earnings
HC01_EST_VC02,Total; Estimate; Median earnings (dollars)
HC01_MOE_VC02,Total; Margin of Error; Median earnings (dollars)
HC02_EST_VC02,Percent; Estimate; Median earnings (dollars)
HC02_MOE_VC02,Percent; Margin of Error; Median earnings (dollars)
HC03_EST_VC02,Male; Estimate; Median earnings (dollars)
HC03_MOE_VC02,Male; Margin of Error; Median earnings (dollars)
HC04_EST_VC02,Percent Male; Estimate; Median earnings (dollars)
HC04_MOE_VC02,Percent Male; Margin of Error; Median earnings (dollars)
HC05_EST_VC02,Female; Estimate; Median earnings (dollars)
HC05_MOE_VC02,Female; Margin of Error; Median earnings (dollars)
HC06_EST_VC02,Percent Female; Estimate; Median earnings (dollars)
HC06_MOE_VC02,Percent Female; Margin of Error; Median earnings (dollars)
HC01_EST_VC04,"Total; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC01_MOE_VC04,"Total; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC02_EST_VC04,"Percent; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC02_MOE_VC04,"Percent; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC03_EST_VC04,"Male; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC03_MOE_VC04,"Male; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC04_EST_VC04,"Percent Male; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC04_MOE_VC04,"Percent Male; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC05_EST_VC04,"Female; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC05_MOE_VC04,"Female; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC06_EST_VC04,"Percent Female; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC06_MOE_VC04,"Percent Female; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS"
HC01_EST_VC05,"Total; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS - $1 to $9,999 or loss"
HC01_MOE_VC05,"Total; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS - $1 to $9,999 or loss"
HC02_EST_VC05,"Percent; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS - $1 to $9,999 or loss"
HC02_MOE_VC05,"Percent; Margin of Error; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS - $1 to $9,999 or loss"
HC03_EST_VC05,"Male; Estimate; FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS - $1 to $9,999 or loss"
