GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39
Id,Id2,Geography,Total; Estimate; Civilian noninstitutionalized population,Total; Margin of Error; Civilian noninstitutionalized population,Public Coverage; Estimate; Civilian noninstitutionalized population,Public Coverage; Margin of Error; Civilian noninstitutionalized population,Percent Public Coverage; Estimate; Civilian noninstitutionalized population,Percent Public Coverage; Margin of Error; Civilian noninstitutionalized population,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - Under 19,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 19 to 64 years,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Percent Public Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Percent Public Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Medicare coverage alone or in combination - 65 years and over,Total; Estimate; Medicaid/means-tested public coverage alone or in combination,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination,Total; Estimate; Medicaid/means-tested public coverage alone or in combination - Under 19,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination - Under 19,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - Under 19,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - Under 19,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - Under 19,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - Under 19,Total; Estimate; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 19 to 64 years,Total; Estimate; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Total; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Percent Public Coverage; Estimate; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Percent Public Coverage; Margin of Error; Medicaid/means-tested public coverage alone or in combination - 65 years and over,Total; Estimate; VA health care coverage alone or in combination,Total; Margin of Error; VA health care coverage alone or in combination,Public Coverage; Estimate; VA health care coverage alone or in combination,Public Coverage; Margin of Error; VA health care coverage alone or in combination,Percent Public Coverage; Estimate; VA health care coverage alone or in combination,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination,Total; Estimate; VA health care coverage alone or in combination - Under 19,Total; Margin of Error; VA health care coverage alone or in combination - Under 19,Public Coverage; Estimate; VA health care coverage alone or in combination - Under 19,Public Coverage; Margin of Error; VA health care coverage alone or in combination - Under 19,Percent Public Coverage; Estimate; VA health care coverage alone or in combination - Under 19,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination - Under 19,Total; Estimate; VA health care coverage alone or in combination - 19 to 64 years,Total; Margin of Error; VA health care coverage alone or in combination - 19 to 64 years,Public Coverage; Estimate; VA health care coverage alone or in combination - 19 to 64 years,Public Coverage; Margin of Error; VA health care coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Estimate; VA health care coverage alone or in combination - 19 to 64 years,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination - 19 to 64 years,Total; Estimate; VA health care coverage alone or in combination - 65 years and over,Total; Margin of Error; VA health care coverage alone or in combination - 65 years and over,Public Coverage; Estimate; VA health care coverage alone or in combination - 65 years and over,Public Coverage; Margin of Error; VA health care coverage alone or in combination - 65 years and over,Percent Public Coverage; Estimate; VA health care coverage alone or in combination - 65 years and over,Percent Public Coverage; Margin of Error; VA health care coverage alone or in combination - 65 years and over,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Total; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Public Coverage; Estimate; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Public Coverage; Margin of Error; PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,"Total; Estimate; Worked full-time, year-round (19-64 years)","Total; Margin of Error; Worked full-time, year-round (19-64 years)","Public Coverage; Estimate; Worked full-time, year-round (19-64 years)","Public Coverage; Margin of Error; Worked full-time, year-round (19-64 years)","Percent Public Coverage; Estimate; Worked full-time, year-round (19-64 years)","Percent Public Coverage; Margin of Error; Worked full-time, year-round (19-64 years)",Total; Estimate; Under 6,Total; Margin of Error; Under 6,Public Coverage; Estimate; Under 6,Public Coverage; Margin of Error; Under 6,Percent Public Coverage; Estimate; Under 6,Percent Public Coverage; Margin of Error; Under 6,Total; Estimate; 6 to 18 years,Total; Margin of Error; 6 to 18 years,Public Coverage; Estimate; 6 to 18 years,Public Coverage; Margin of Error; 6 to 18 years,Percent Public Coverage; Estimate; 6 to 18 years,Percent Public Coverage; Margin of Error; 6 to 18 years,Total; Estimate; 19 to 25 years,Total; Margin of Error; 19 to 25 years,Public Coverage; Estimate; 19 to 25 years,Public Coverage; Margin of Error; 19 to 25 years,Percent Public Coverage; Estimate; 19 to 25 years,Percent Public Coverage; Margin of Error; 19 to 25 years,Total; Estimate; 26 to 34 years,Total; Margin of Error; 26 to 34 years,Public Coverage; Estimate; 26 to 34 years,Public Coverage; Margin of Error; 26 to 34 years,Percent Public Coverage; Estimate; 26 to 34 years,Percent Public Coverage; Margin of Error; 26 to 34 years,Total; Estimate; 35 to 44 years,Total; Margin of Error; 35 to 44 years,Public Coverage; Estimate; 35 to 44 years,Public Coverage; Margin of Error; 35 to 44 years,Percent Public Coverage; Estimate; 35 to 44 years,Percent Public Coverage; Margin of Error; 35 to 44 years,Total; Estimate; 45 to 54 years,Total; Margin of Error; 45 to 54 years,Public Coverage; Estimate; 45 to 54 years,Public Coverage; Margin of Error; 45 to 54 years,Percent Public Coverage; Estimate; 45 to 54 years,Percent Public Coverage; Margin of Error; 45 to 54 years,Total; Estimate; 55 to 64 years,Total; Margin of Error; 55 to 64 years,Public Coverage; Estimate; 55 to 64 years,Public Coverage; Margin of Error; 55 to 64 years,Percent Public Coverage; Estimate; 55 to 64 years,Percent Public Coverage; Margin of Error; 55 to 64 years,Total; Estimate; 65 to 74 years,Total; Margin of Error; 65 to 74 years,Public Coverage; Estimate; 65 to 74 years,Public Coverage; Margin of Error; 65 to 74 years,Percent Public Coverage; Estimate; 65 to 74 years,Percent Public Coverage; Margin of Error; 65 to 74 years,Total; Estimate; 75 years and over,Total; Margin of Error; 75 years and over,Public Coverage; Estimate; 75 years and over,Public Coverage; Margin of Error; 75 years and over,Percent Public Coverage; Estimate; 75 years and over,Percent Public Coverage; Margin of Error; 75 years and over,Total; Estimate; COVERAGE ALONE - Public health insurance alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicare coverage alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - Medicaid/means tested coverage alone,Total; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Total; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Percent Public Coverage; Estimate; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone,Percent Public Coverage; Margin of Error; COVERAGE ALONE - Public health insurance alone - VA health care coverage alone
0400000US01,01,Alabama,4770692,802,1720966,9012,36.1,0.2,(X),(X),920515,3168,19.3,0.1,1170330,1492,7569,767,0.6,0.1,2858486,1909,189318,2816,6.6,0.1,741876,704,723628,1267,97.5,0.1,(X),(X),939491,8456,19.7,0.2,1170330,1492,515766,6328,44.1,0.5,2858486,1909,316415,4228,11.1,0.1,741876,704,107310,1833,14.5,0.2,(X),(X),133847,2462,2.8,0.1,1170330,1492,2095,427,0.2,0.1,2858486,1909,63930,1666,2.2,0.1,741876,704,67822,1614,9.1,0.2,1236841,13002,711793,8609,57.5,0.4,3481843,12699,996923,6990,28.6,0.2,1431450,6376,65808,1897,4.6,0.1,350412,1841,181507,3019,51.8,0.8,819918,2434,339560,5114,41.4,0.6,459887,2856,56313,2000,12.2,0.4,542927,2287,77421,1927,14.3,0.3,586122,1417,75700,2159,12.9,0.4,638765,1016,104595,2010,16.4,0.3,630785,751,161361,2394,25.6,0.4,443548,855,429241,1146,96.8,0.2,298328,809,295268,845,99.0,0.1,(X),(X),926358,10033,19.4,0.2,(X),(X),252841,3787,5.3,0.1,(X),(X),657820,7732,13.8,0.2,(X),(X),15697,1131,0.3,0.1
0400000US02,02,Alaska,714038,670,208041,3013,29.1,0.4,(X),(X),79123,1018,11.1,0.1,195335,519,716,188,0.4,0.1,445510,877,10206,709,2.3,0.2,73193,300,68201,641,93.2,0.8,(X),(X),130005,3097,18.2,0.4,195335,519,67399,1976,34.5,1.0,445510,877,50972,1510,11.4,0.3,73193,300,11634,677,15.9,0.9,(X),(X),28126,1212,3.9,0.2,195335,519,275,97,0.1,0.1,445510,877,17978,962,4.0,0.2,73193,300,9873,554,13.5,0.8,111728,3077,63973,2391,57.3,1.3,596715,3036,141401,2699,23.7,0.4,222754,2109,18829,1030,8.5,0.4,65093,645,25477,1005,39.1,1.5,130242,875,42502,1486,32.6,1.2,71319,915,10095,738,14.2,1.0,97364,922,16411,920,16.9,0.9,88504,509,13051,746,14.7,0.8,94404,552,14312,630,15.2,0.7,93919,371,17461,777,18.6,0.8,50353,330,46339,559,92.0,1.0,22840,262,22393,289,98.0,0.7,(X),(X),116442,3167,16.3,0.4,(X),(X),17605,797,2.5,0.1,(X),(X),95180,2891,13.3,0.4,(X),(X),3657,493,0.5,0.1
0400000US04,04,Arizona,6701990,926,2500889,12881,37.3,0.2,(X),(X),1199165,2927,17.9,0.1,1717624,2033,8063,757,0.5,0.1,3889714,2147,136642,2488,3.5,0.1,1094652,532,1054460,1608,96.3,0.1,(X),(X),1426627,12629,21.3,0.2,1717624,2033,646835,7082,37.7,0.4,3889714,2147,652227,6705,16.8,0.2,1094652,532,127565,2074,11.7,0.2,(X),(X),188379,2930,2.8,0.1,1717624,2033,1832,406,0.1,0.1,3889714,2147,80260,1941,2.1,0.1,1094652,532,106287,2037,9.7,0.2,1643494,14681,1005097,11418,61.2,0.4,4997712,14726,1477811,8723,29.6,0.2,1983639,8085,174467,3283,8.8,0.2,520741,1792,225789,3322,43.4,0.6,1196883,2694,425590,5412,35.6,0.5,652637,3123,127772,2760,19.6,0.4,788510,2872,167379,2690,21.2,0.3,818945,986,153424,3196,18.7,0.4,827674,757,155487,2570,18.8,0.3,801948,595,188814,3107,23.5,0.4,640817,485,611018,1087,95.3,0.2,453835,436,445616,908,98.2,0.2,(X),(X),1534727,12151,22.9,0.2,(X),(X),402318,3557,6.0,0.1,(X),(X),1105671,11605,16.5,0.2,(X),(X),26738,1396,0.4,0.1
0400000US05,05,Arkansas,2924569,443,1206433,7194,41.3,0.2,(X),(X),572727,2830,19.6,0.1,744956,1379,5253,755,0.7,0.1,1719450,1603,117779,2423,6.8,0.1,460163,630,449695,891,97.7,0.1,(X),(X),721950,7199,24.7,0.2,744956,1379,379134,5145,50.9,0.7,1719450,1603,276784,3909,16.1,0.2,460163,630,66032,1499,14.3,0.3,(X),(X),100359,2134,3.4,0.1,744956,1379,1569,352,0.2,0.1,1719450,1603,43661,1624,2.5,0.1,460163,630,55129,1238,12.0,0.3,787984,10454,507151,7217,64.4,0.5,2098229,10355,688157,6522,32.8,0.3,888011,4488,66414,1784,7.5,0.2,228950,1352,133094,2651,58.1,1.1,516006,1937,249618,3760,48.4,0.7,281579,2204,49209,1657,17.5,0.6,334880,1881,66301,2019,19.8,0.6,358671,1197,66660,1951,18.6,0.5,374802,1003,79199,1691,21.1,0.5,369518,732,111903,2117,30.3,0.6,273250,645,265225,788,97.1,0.2,186913,622,185224,706,99.1,0.2,(X),(X),721832,7747,24.7,0.3,(X),(X),171666,3351,5.9,0.1,(X),(X),535462,6680,18.3,0.2,(X),(X),14704,910,0.5,0.1
0400000US06,06,California,38488069,2222,13779925,38048,35.8,0.1,(X),(X),5529313,8984,14.4,0.1,9637773,4049,85293,3176,0.9,0.1,23797372,4336,674434,6913,2.8,0.1,5052924,1172,4769586,3988,94.4,0.1,(X),(X),9414270,40660,24.5,0.1,9637773,4049,4070656,21894,42.2,0.2,23797372,4336,4326919,20007,18.2,0.1,5052924,1172,1016695,7394,20.1,0.1,(X),(X),588888,5891,1.5,0.1,9637773,4049,7471,906,0.1,0.1,23797372,4336,275705,3859,1.2,0.1,5052924,1172,305712,3422,6.1,0.1,8596420,50952,5446194,34745,63.4,0.2,29572409,50240,8231800,22735,27.8,0.1,11668224,17862,1055128,8684,9.0,0.1,2986296,4408,1390910,9696,46.6,0.3,6651477,6242,2737630,15810,41.2,0.2,3910004,6564,872328,7150,22.3,0.2,5076785,5731,1038149,6897,20.4,0.1,5101749,1996,928144,7359,18.2,0.1,5147441,1634,957155,6731,18.6,0.1,4561393,1135,1078010,7455,23.6,0.2,2919552,1011,2696268,3694,92.4,0.1,2133372,1290,2081331,2213,97.6,0.1,(X),(X),9119541,45487,23.7,0.1,(X),(X),1740389,10390,4.5,0.1,(X),(X),7292753,39479,18.9,0.1,(X),(X),86399,2456,0.2,0.1
0400000US08,08,Colorado,5344703,1139,1646986,9902,30.8,0.2,(X),(X),762060,2484,14.3,0.1,1321888,1515,7770,887,0.6,0.1,3330901,1893,92194,1772,2.8,0.1,691914,650,662096,1150,95.7,0.1,(X),(X),952075,10093,17.8,0.2,1321888,1515,444629,5893,33.6,0.4,3330901,1893,431405,5614,13.0,0.2,691914,650,76041,1869,11.0,0.3,(X),(X),124803,2121,2.3,0.1,1321888,1515,2015,571,0.2,0.1,3330901,1893,65003,1511,2.0,0.1,691914,650,57785,1137,8.4,0.2,928005,11206,547037,8349,58.9,0.6,4366349,11281,1088300,8062,24.9,0.2,1847291,5975,133600,3077,7.2,0.2,403222,1996,156395,2917,38.8,0.7,918666,2425,294514,4335,32.1,0.5,505362,2702,84909,2180,16.8,0.4,719241,2366,124133,2501,17.3,0.4,719752,1070,99796,2347,13.9,0.3,707697,1045,99206,2184,14.0,0.3,678849,750,124869,2298,18.4,0.3,428470,564,404390,1055,94.4,0.2,263444,554,258774,686,98.2,0.2,(X),(X),989803,10215,18.5,0.2,(X),(X),239146,2670,4.5,0.1,(X),(X),732647,9377,13.7,0.2,(X),(X),18010,1119,0.3,0.1
0400000US09,09,Connecticut,3541763,553,1184547,7608,33.4,0.2,(X),(X),601104,2499,17.0,0.1,815413,1127,3578,643,0.4,0.1,2172008,1353,69447,1941,3.2,0.1,554342,461,528079,1260,95.3,0.2,(X),(X),676569,7332,19.1,0.2,815413,1127,270570,3832,33.2,0.5,2172008,1353,331322,4756,15.3,0.2,554342,461,74677,1410,13.5,0.3,(X),(X),56563,1459,1.6,0.1,815413,1127,224,154,0.0,0.1,2172008,1353,19976,987,0.9,0.1,554342,461,36363,1077,6.6,0.2,515863,6777,365632,6345,70.9,0.7,2965407,6972,810597,5557,27.3,0.2,1161660,5595,79157,2306,6.8,0.2,224666,1374,86415,2129,38.5,0.9,590747,1762,185789,3179,31.4,0.5,335590,1775,62697,2225,18.7,0.6,384734,1462,79864,2029,20.8,0.5,427488,560,74571,1985,17.4,0.5,531421,533,83048,1942,15.6,0.4,492775,453,83469,1904,16.9,0.4,314624,365,292250,1189,92.9,0.4,239718,532,236444,616,98.6,0.2,(X),(X),688829,8294,19.4,0.2,(X),(X),171996,3345,4.9,0.1,(X),(X),510900,6779,14.4,0.2,(X),(X),5933,573,0.2,0.1
0400000US10,10,Delaware,929139,343,335197,4149,36.1,0.4,(X),(X),177321,1433,19.1,0.2,217408,620,1941,492,0.9,0.2,555214,683,24014,1158,4.3,0.2,156517,199,151366,675,96.7,0.4,(X),(X),178601,3938,19.2,0.4,217408,620,77080,2107,35.5,1.0,555214,683,85993,2374,15.5,0.4,156517,199,15528,747,9.9,0.5,(X),(X),17970,870,1.9,0.1,217408,620,167,99,0.1,0.1,555214,683,7428,573,1.3,0.1,156517,199,10375,655,6.6,0.4,163301,3773,107277,2726,65.7,1.4,752159,3778,225561,3339,30.0,0.4,302582,2662,21071,1135,7.0,0.4,66514,707,27281,1164,41.0,1.7,150894,906,50716,1541,33.6,1.0,86228,1086,16266,846,18.9,1.0,107506,896,22105,1164,20.6,1.1,108384,266,20109,1072,18.6,1.0,126998,233,20604,1015,16.2,0.8,126098,148,26733,1129,21.2,0.9,94724,200,90622,511,95.7,0.5,61793,219,60761,351,98.3,0.5,(X),(X),179916,3825,19.4,0.4,(X),(X),45988,1351,4.9,0.1,(X),(X),132214,3646,14.2,0.4,(X),(X),1714,334,0.2,0.1
0400000US11,11,District of Columbia,661858,300,238895,3053,36.1,0.5,(X),(X),85711,1242,13.0,0.2,127858,679,913,298,0.7,0.2,456779,781,14057,938,3.1,0.2,77221,229,70741,602,91.6,0.7,(X),(X),177800,3240,26.9,0.5,127858,679,61285,1521,47.9,1.2,456779,781,97849,2115,21.4,0.5,77221,229,18666,761,24.2,1.0,(X),(X),10136,705,1.5,0.1,127858,679,81,81,0.1,0.1,456779,781,5637,554,1.2,0.1,77221,229,4418,395,5.7,0.5,147286,4139,106698,3467,72.4,1.2,489065,4107,130093,2784,26.6,0.5,259455,2227,24361,1039,9.4,0.4,50549,463,23302,841,46.1,1.6,77309,836,38259,1187,49.5,1.5,81368,1230,17622,980,21.7,1.2,137350,1061,23610,886,17.2,0.6,93878,284,19817,961,21.1,1.0,75463,286,21062,849,27.9,1.1,68720,178,24239,801,35.3,1.2,44810,183,39844,523,88.9,1.1,32411,225,31140,304,96.1,0.7,(X),(X),150801,3033,22.8,0.5,(X),(X),15194,859,2.3,0.1,(X),(X),134118,3006,20.3,0.5,(X),(X),1489,314,0.2,0.1
