"","Trade.Name","City","Reviews","Number_of_Reviews"
"1","#1 FARMERS MARKET","NEW YORK",4,4
"2","#1 SMOKE SHOP","BROOKLYN",0,0
"3","#248-PRICE RITE OF SOUT","SYRACUSE",4.2,610
"4","#249 PRICE RITE OF UTIC","UTICA",0,0
"5","$ VALLEY","BELLEROSE",4.9,14
"6","$1 LIMIT THE","WHITE PLAINS",0,0
"7","1 FAM GROCERY","YONKERS",0,0
"8","1 NY NEW DELI","BROOKLYN",4.2,37
"9","10 NEIGHBORHOOD CANDY G","BRONX",0,0
"10","100 RT 17K","NEWBURGH",0,0
"11","100 ST QUICK 24HR DELI","NEW YORK",0,0
"12","1000 ISLANDS CRUET THE","ALEXANDRIA BAY",4.8,16
"13","1000 ISLANDS OILS & VIN","CLAYTON",0,0
"14","1000 MOTOR PKWY FOOD MA","CENTRAL ISLIP",0,0
"15","101 AVE CITY LINE DELI","OZONE PARK",4.6,42
"16","101 AVE DELI GROCERY 06","OZONE PARK",0,0
"17","101 CORNER FOOD MART","SOUTH RICHMOND HIL",0,0
"18","101 DELI NY","SOUTH RICHMOND HIL",0,0
"19","101 FINEST DELI","NEW YORK",0,0
"20","101 HALAL DELI & GRILL","SOUTH RICHMOND HIL",4,24
"21","1010 GOURMET DELI & GRI","JAMAICA",2.8,4
"22","102 SPRINGFIELD GROCERY","QUEENS VILLAGE",4.8,4
"23","102-01 LUCKY STAR DELI","RICHMOND HILL",5,NA
"24","1029 FOOD PLAZA","BRONX",3,2
"25","103 FAMILY DELI","NEW YORK",5,4
"26","103 MANHATTAN AVE GROC","NEW YORK",0,0
"27","10325 STOP 1 DELI","SOUTH OZONE PARK",4.9,17
"28","104 BROADWAY FARMS","NEW YORK",4.8,5
"29","104 GOURMET DELI","OZONE PARK",5,4
"30","104 STORE","RED CREEK",4.3,53
"31","105 DELI & GRILL","NEW YORK",5,4
"32","106 CANDY & CONVENIENCE","NEW YORK",0,0
"33","106 FAMILY DELI & GROCE","NEW YORK",0,0
"34","106 FRANKLIN DELI & GRO","NEW YORK",0,0
"35","1066 RUTLAND DELI","BROOKLYN",1,NA
"36","1068 MINI MART DELI GRO","BROOKLYN",4,2
"37","107 DELI & GRILL","NEW YORK",3.8,88
"38","107 DELI GROCERY","RICHMOND HILL",4.1,67
"39","107 GROCERY","CORONA",4,NA
"40","107 GROCERY DELI","CORONA",0,0
"41","10753 MERRICK DELI GROC","JAMAICA",0,0
"42","1078 DELI GROCERY","BRONX",0,0
"43","108 DELI & GROCERY","CORONA",0,0
"44","108 NINOS","CORONA",1,NA
"45","1081 PIZZA & DELI","BRONX",0,0
"46","1086 LUNA DELI GROCERY","BRONX",4.4,18
"47","108TH STREET GROCERY","CORONA",0,0
"48","109 AJ DELI GROCERY","BRONX",0,0
"49","109 DAY & NIGHT GROCERY","RICHMOND HILL",0,0
"50","109 FISH MARKET","HEMPSTEAD",0,0
"51","1099 HORSEBLOCK PETROLE","FARMINGVILLE",0,0
"52","10TH AVE PETROLEUM","NEW YORK",3.6,74
"53","11 SEVEN FOOD MART","BROOKLYN",0,0
"54","11-7 DELI GROUP","BROOKLYN",0,0
"55","1102 8TH AVE FOOD OF NY","BROOKLYN",4.4,26
"56","1105 TINTON DELI GRCY","BRONX",0,0
"57","1106 FIRST DELI","STATEN ISLAND",0,0
"58","111 CORONA CANDY STORE","CORONA",0,0
"59","111 DELI & GRILL","JAMAICA",0,0
"60","111 DELI STOP","CORONA",0,0
"61","111 FOOD MARKET","CORONA",0,0
"62","111 FRANKLIN DELI&GRCY","BROOKLYN",0,0
"63","1113 SUPER DISCOUNT 8","BROOKLYN",0,0
"64","112 GULF","MEDFORD",3.3,15
"65","1132 CONVENIENCE","YONKERS",0,0
"66","114 PLAZA DELI","MOUNT VERNON",4.7,29
"67","1150 WEBSTER PHARMACY I","BRONX",4.3,4
"68","1154 NP MINIMART","BROOKLYN",0,0
"69","1158 GROCERY & DELI","BRONX",3.7,3
"70","116 DISCOUNT","NEW YORK",0,0
"71","116 ROCKAWAY PARK STNRS","ROCKAWAY PARK",0,0
"72","116 STREET MARINI DELI","NEW YORK",0,0
"73","1164 MONTAUK GAS INC","PATCHOGUE",3.7,10
"74","116TH STREET FOOD","NEW YORK",0,0
"75","117-06 MERRICK BLVD GRO","JAMAICA",0,0
"76","1172 GROCERY","RIVERHEAD",0,0
"77","118-07 ALEXANDER DELI G","JAMAICA",0,0
